token	left_score	right_score	pred_side	rule_hits
she	24.000000	0.000000	left	1
kodshey	8.000000	24.000000	right	1
cphealy	57.000000	0.000000	left	1
dasain	2.000000	30.000000	right	1
dain	2.000000	30.000000	right	1
ckhyds	77.000000	0.000000	left	1
dchar	32.000000	36.000000	right	1
shcthaiin	0.000000	31.000000	right	1
okaiir	0.750000	77.000000	right	1
chey	60.400000	0.000000	left	1
rchy	0.000000	0.000000	unknown	0
potol	0.000000	0.000000	unknown	0
cthols	53.000000	3.000000	left	1
dlocta	2.000000	33.000000	right	1
shok	29.550000	0.000000	left	1
chor	51.000000	0.000000	left	1
chey	60.400000	0.000000	left	1
dain	2.000000	30.000000	right	1
ckhey	83.000000	0.000000	left	1
cpho	51.000000	0.000000	left	1
shaiin	0.000000	0.000000	unknown	0
shokcheey	13.150000	0.000000	left	1
chol	51.000000	0.000000	left	1
tshodeesy	3.000000	0.000000	left	1
shey	6.000000	0.000000	left	1
pydeey	3.000000	0.000000	left	1
chy	51.000000	0.000000	left	1
ro	0.000000	0.000000	unknown	0
d	2.000000	30.000000	right	1
doin	2.000000	30.000000	right	1
chol	51.000000	0.000000	left	1
dain	2.000000	30.000000	right	1
cthal	51.000000	3.000000	left	1
dar	2.000000	30.000000	right	1
shear	6.000000	0.000000	left	1
kaiin	2.000000	24.000000	right	1
dar	2.000000	30.000000	right	1
shey	6.000000	0.000000	left	1
cthar	51.000000	3.000000	left	1
choo	51.000000	0.000000	left	1
kaiin	2.000000	24.000000	right	1
shoaiin	0.000000	0.000000	unknown	0
okol	0.750000	77.000000	right	1
daiin	2.000000	30.000000	right	1
far	0.000000	0.000000	unknown	0
cthol	51.000000	3.000000	left	1
daiin	2.000000	30.000000	right	1
ctholdar	51.000000	3.000000	left	1
ycheey	42.400000	0.000000	left	1
okay	0.750000	77.000000	right	1
oky	0.750000	77.000000	right	1
daiin	2.000000	30.000000	right	1
okchey	10.150000	77.000000	right	1
kokaiin	2.750000	24.000000	right	1
chol	51.000000	0.000000	left	1
kchy	28.000000	24.000000	left	1
dal	2.000000	30.000000	right	1
deeo	5.000000	30.000000	right	1
shody	0.000000	0.000000	unknown	0
koshey	8.000000	24.000000	right	1
cthy	51.000000	3.000000	left	1
okchey	10.150000	77.000000	right	1
keey	8.000000	24.000000	right	1
keey	8.000000	24.000000	right	1
dal	2.000000	30.000000	right	1
chtor	51.000000	0.000000	left	1
eo	0.000000	0.000000	unknown	0
chol	51.000000	0.000000	left	1
chok	98.550000	0.000000	left	1
choty	51.000000	0.000000	left	1
chotey	51.000000	0.000000	left	1
oltchey	9.400000	12.000000	right	1
char	51.000000	0.000000	left	1
cfhar	51.000000	0.000000	left	1
am	0.000000	0.000000	unknown	0
dcho	32.000000	36.000000	right	1
lkody	0.000000	0.000000	unknown	0
okodar	0.750000	77.000000	right	1
chody	51.000000	0.000000	left	1
dksheey	11.000000	30.000000	right	1
cthy	51.000000	3.000000	left	1
kotchody	2.000000	33.000000	right	1
dal	2.000000	30.000000	right	1
dar	2.000000	30.000000	right	1
chey	60.400000	0.000000	left	1
tody	0.000000	0.000000	unknown	0
otoaiin	0.000000	5.000000	right	1
shoshy	0.000000	0.000000	unknown	0
dolchey	11.400000	34.000000	right	1
chodo	51.000000	0.000000	left	1
lol	0.000000	0.000000	unknown	0
chy	51.000000	0.000000	left	1
cthy	51.000000	3.000000	left	1
ykol	43.200000	3.600000	left	1
dol	2.000000	30.000000	right	1
dolo	2.000000	30.000000	right	1
ykol	43.200000	3.600000	left	1
do	2.000000	30.000000	right	1
lchody	0.000000	2.000000	right	1
chol	51.000000	0.000000	left	1
cthol	51.000000	3.000000	left	1
chody	51.000000	0.000000	left	1
chol	51.000000	0.000000	left	1
daiin	2.000000	30.000000	right	1
shol	0.000000	0.000000	unknown	0
dchor	32.000000	36.000000	right	1
otcho	0.000000	14.000000	right	1
dar	2.000000	30.000000	right	1
shody	0.000000	0.000000	unknown	0
ypchaiin	0.000000	2.000000	right	1
ckholsy	79.000000	0.000000	left	1
shor	0.000000	0.000000	unknown	0
cthy	51.000000	3.000000	left	1
cth	69.000000	20.000000	left	1
chaiin	51.000000	0.000000	left	1
chokaiin	51.750000	0.000000	left	1
d	2.000000	30.000000	right	1
ytchaiin	0.000000	49.000000	right	1
dan	2.000000	30.000000	right	1
dchol	32.000000	36.000000	right	1
dchy	32.000000	36.000000	right	1
cthy	51.000000	3.000000	left	1
yksh	49.200000	20.600000	left	1
olsheey	13.000000	5.000000	left	1
daiildy	2.000000	30.000000	right	1
chol	51.000000	0.000000	left	1
yky	43.200000	3.600000	left	1
dain	2.000000	30.000000	right	1
daiirol	2.000000	30.000000	right	1
cthey	57.000000	3.000000	left	1
keol	5.000000	24.000000	right	1
saiin	0.000000	0.000000	unknown	0
saiin	0.000000	0.000000	unknown	0
olsaiin	2.000000	5.000000	right	1
sheey	9.000000	0.000000	left	1
ckhor	77.000000	0.000000	left	1
saiin	0.000000	0.000000	unknown	0
chety	60.400000	0.000000	left	1
chyky	51.000000	2.000000	left	1
sal	0.000000	0.000000	unknown	0
dair	2.000000	30.000000	right	1
shty	0.000000	0.000000	unknown	0
chor	51.000000	0.000000	left	1
daiin	2.000000	30.000000	right	1
chcthy	51.000000	31.000000	left	1
daiin	2.000000	30.000000	right	1
s	0.000000	0.000000	unknown	0
shey	6.000000	0.000000	left	1
dor	2.000000	30.000000	right	1
chol	51.000000	0.000000	left	1
daiin	2.000000	30.000000	right	1
daiin	2.000000	30.000000	right	1
otchor	0.000000	14.000000	right	1
chan	51.000000	0.000000	left	1
chees	63.400000	0.000000	left	1
chr	51.000000	0.000000	left	1
cheaiin	60.400000	0.000000	left	1
tsheos	6.000000	0.000000	left	1
qopal	0.000000	29.000000	right	1
chol	51.000000	0.000000	left	1
cthol	51.000000	3.000000	left	1
daimm	2.000000	30.000000	right	1
ycheor	39.400000	0.000000	left	1
chor	51.000000	0.000000	left	1
dam	2.000000	30.000000	right	1
qotcham	0.000000	9.000000	right	1
cham	51.000000	0.000000	left	1
ochor	0.000000	5.000000	right	1
qocheor	9.400000	0.000000	left	1
chol	51.000000	0.000000	left	1
daiin	2.000000	30.000000	right	1
cthy	51.000000	3.000000	left	1
schey	9.400000	0.000000	left	1
chor	51.000000	0.000000	left	1
chal	51.000000	0.000000	left	1
cham	51.000000	0.000000	left	1
cham	51.000000	0.000000	left	1
cho	51.000000	0.000000	left	1
qokol	39.750000	0.000000	left	1
chololy	51.000000	0.000000	left	1
s	0.000000	0.000000	unknown	0
cham	51.000000	0.000000	left	1
cthol	51.000000	3.000000	left	1
ychtaiin	30.000000	0.000000	left	1
chor	51.000000	0.000000	left	1
cthom	51.000000	3.000000	left	1
otal	0.000000	5.000000	right	1
dam	2.000000	30.000000	right	1
otchol	0.000000	14.000000	right	1
qodaiin	0.000000	0.000000	unknown	0
chom	51.000000	0.000000	left	1
shom	0.000000	0.000000	unknown	0
damo	2.000000	30.000000	right	1
ysheor	6.000000	0.000000	left	1
chor	51.000000	0.000000	left	1
chol	51.000000	0.000000	left	1
oky	0.750000	77.000000	right	1
damo	2.000000	30.000000	right	1
sho	0.000000	0.000000	unknown	0
or	0.000000	5.000000	right	1
sheoldam	6.000000	0.000000	left	1
otchody	0.000000	14.000000	right	1
ol	0.000000	5.000000	right	1
pcheol	9.400000	2.000000	left	1
shol	0.000000	0.000000	unknown	0
sols	2.000000	0.000000	left	1
sheol	6.000000	0.000000	left	1
shey	6.000000	0.000000	left	1
okadaiin	0.750000	77.000000	right	1
qokchor	39.750000	0.000000	left	1
qoschodam	0.000000	0.000000	unknown	0
octhy	0.000000	8.000000	right	1
qokeey	48.750000	0.000000	left	1
qot	0.000000	2.000000	right	1
shey	6.000000	0.000000	left	1
qokody	39.750000	0.000000	left	1
qokchey	49.150000	0.000000	left	1
cheody	60.400000	0.000000	left	1
oporar	0.000000	8.000000	right	1
soleeg	3.000000	0.000000	left	1
otolom	0.000000	5.000000	right	1
chor	51.000000	0.000000	left	1
cthy	51.000000	3.000000	left	1
koaiin	2.000000	24.000000	right	1
cphor	51.000000	0.000000	left	1
qotoy	0.000000	0.000000	unknown	0
sha	0.000000	0.000000	unknown	0
ckhol	77.000000	0.000000	left	1
ykoaiin	43.200000	3.600000	left	1
s	0.000000	0.000000	unknown	0
oly	0.000000	5.000000	right	1
daiidy	2.000000	30.000000	right	1
qoteeol	3.000000	0.000000	left	1
okchor	0.750000	77.000000	right	1
okor	0.750000	77.000000	right	1
olytol	0.000000	7.000000	right	1
dol	2.000000	30.000000	right	1
dar	2.000000	30.000000	right	1
okom	0.750000	77.000000	right	1
chol	51.000000	0.000000	left	1
shol	0.000000	0.000000	unknown	0
seees	3.000000	0.000000	left	1
chom	51.000000	0.000000	left	1
cheeykam	63.400000	2.000000	left	1
okai	0.750000	77.000000	right	1
qodar	0.000000	0.000000	unknown	0
ees	3.000000	0.000000	left	1
eey	3.000000	0.000000	left	1
kcheol	37.400000	24.000000	left	1
okal	0.750000	77.000000	right	1
do	2.000000	30.000000	right	1
r	0.000000	0.000000	unknown	0
chear	60.400000	0.000000	left	1
een	3.000000	0.000000	left	1
yeeear	3.000000	0.000000	left	1
otchal	0.000000	14.000000	right	1
eeor	3.000000	0.000000	left	1
eear	3.000000	0.000000	left	1
ckhy	77.000000	0.000000	left	1
tchor	0.000000	7.000000	right	1
otcham	0.000000	14.000000	right	1
chor	51.000000	0.000000	left	1
cfham	51.000000	0.000000	left	1
s	0.000000	0.000000	unknown	0
ykchy	43.200000	27.200000	left	1
kchom	28.000000	24.000000	left	1
chor	51.000000	0.000000	left	1
chekeol	63.400000	0.000000	left	1
oka	0.750000	77.000000	right	1
ytcheear	12.400000	49.000000	right	1
okeol	6.750000	77.000000	right	1
cthodoaly	51.000000	3.000000	left	1
chor	51.000000	0.000000	left	1
cthy	51.000000	3.000000	left	1
ochor	0.000000	5.000000	right	1
daiin	2.000000	30.000000	right	1
qokshol	39.750000	0.000000	left	1
daiim	2.000000	30.000000	right	1
chol	51.000000	0.000000	left	1
okary	0.750000	77.000000	right	1
sho	0.000000	0.000000	unknown	0
shockho	0.000000	0.000000	unknown	0
ckhy	77.000000	0.000000	left	1
tchor	0.000000	7.000000	right	1
chodaiin	51.000000	0.000000	left	1
chom	51.000000	0.000000	left	1
osh	0.000000	28.000000	right	1
chodair	51.000000	0.000000	left	1
ytchy	0.000000	49.000000	right	1
tchor	0.000000	7.000000	right	1
kcham	28.000000	24.000000	left	1
s	0.000000	0.000000	unknown	0
shar	0.000000	0.000000	unknown	0
shkaiin	0.000000	0.000000	unknown	0
qokchy	39.750000	0.000000	left	1
yty	0.000000	4.000000	right	1
cthal	51.000000	3.000000	left	1
chky	51.000000	0.000000	left	1
doiin	2.000000	30.000000	right	1
chor	51.000000	0.000000	left	1
ytoy	0.000000	4.000000	right	1
choraiin	51.000000	0.000000	left	1
chom	51.000000	0.000000	left	1
daiin	2.000000	30.000000	right	1
shain	0.000000	0.000000	unknown	0
pydaiin	0.000000	0.000000	unknown	0
qotchy	0.000000	9.000000	right	1
dy	2.000000	30.000000	right	1
tydy	0.000000	0.000000	unknown	0
chor	51.000000	0.000000	left	1
shytchy	0.000000	11.000000	right	1
dy	2.000000	30.000000	right	1
tcheay	9.400000	7.000000	left	1
qotaiin	0.000000	0.000000	unknown	0
cthol	51.000000	3.000000	left	1
daiin	2.000000	30.000000	right	1
cthom	51.000000	3.000000	left	1
shor	0.000000	0.000000	unknown	0
shol	0.000000	0.000000	unknown	0
shol	0.000000	0.000000	unknown	0
cthy	51.000000	3.000000	left	1
cpholdy	51.000000	0.000000	left	1
daiin	2.000000	30.000000	right	1
ckhochy	77.000000	0.000000	left	1
tchy	0.000000	7.000000	right	1
koraiin	2.000000	24.000000	right	1
odal	0.000000	5.000000	right	1
shor	0.000000	0.000000	unknown	0
shyshol	0.000000	0.000000	unknown	0
cphaiin	51.000000	0.000000	left	1
qotchoiin	0.000000	9.000000	right	1
sheyr	6.000000	0.000000	left	1
qoty	0.000000	0.000000	unknown	0
soiin	0.000000	0.000000	unknown	0
chaiin	51.000000	0.000000	left	1
chaiin	51.000000	0.000000	left	1
dlod	2.000000	30.000000	right	1
choldy	51.000000	0.000000	left	1
o	0.000000	5.000000	right	1
ar	0.000000	0.000000	unknown	0
am	0.000000	0.000000	unknown	0
choaiin	51.000000	0.000000	left	1
chodain	51.000000	0.000000	left	1
torchy	0.000000	0.000000	unknown	0
sheeor	9.000000	0.000000	left	1
chor	51.000000	0.000000	left	1
shokchy	0.750000	0.000000	left	1
cphydy	51.000000	0.000000	left	1
olaen	0.000000	5.000000	right	1
chor	51.000000	0.000000	left	1
cthol	51.000000	3.000000	left	1
sho	0.000000	0.000000	unknown	0
otor	0.000000	5.000000	right	1
cthory	51.000000	3.000000	left	1
qooko	0.750000	0.000000	left	1
iiincheom	9.400000	0.000000	left	1
chcthy	51.000000	31.000000	left	1
shoky	0.750000	0.000000	left	1
daiin	2.000000	30.000000	right	1
otaiin	0.000000	5.000000	right	1
sheo	6.000000	0.000000	left	1
okeody	6.750000	77.000000	right	1
chol	51.000000	0.000000	left	1
chokeody	57.750000	0.000000	left	1
sho	0.000000	0.000000	unknown	0
kcheor	37.400000	24.000000	left	1
shody	0.000000	0.000000	unknown	0
shtaiin	0.000000	0.000000	unknown	0
qotol	0.000000	0.000000	unknown	0
daiin	2.000000	30.000000	right	1
qokoy	39.750000	0.000000	left	1
sho	0.000000	0.000000	unknown	0
okeol	6.750000	77.000000	right	1
s	0.000000	0.000000	unknown	0
keey	8.000000	24.000000	right	1
shar	0.000000	0.000000	unknown	0
char	51.000000	0.000000	left	1
ody	0.000000	5.000000	right	1
shody	0.000000	0.000000	unknown	0
s	0.000000	0.000000	unknown	0
cheor	60.400000	0.000000	left	1
chokody	51.750000	0.000000	left	1
shodaiin	0.000000	0.000000	unknown	0
qoty	0.000000	0.000000	unknown	0
kshody	2.000000	24.000000	right	1
fchoy	0.000000	0.000000	unknown	0
chkoy	51.000000	0.000000	left	1
oaiin	0.000000	5.000000	right	1
oar	0.000000	5.000000	right	1
olsy	2.000000	5.000000	right	1
chody	51.000000	0.000000	left	1
dkshy	2.000000	30.000000	right	1
dy	2.000000	30.000000	right	1
ochey	9.400000	5.000000	left	1
okey	6.750000	77.000000	right	1
qokaiin	39.750000	0.000000	left	1
sho	0.000000	0.000000	unknown	0
ckhoy	77.000000	0.000000	left	1
cthey	57.000000	3.000000	left	1
chey	60.400000	0.000000	left	1
okaor	0.750000	77.000000	right	1
otol	0.000000	5.000000	right	1
qoaiin	0.000000	0.000000	unknown	0
otan	0.000000	5.000000	right	1
chy	51.000000	0.000000	left	1
daiin	2.000000	30.000000	right	1
oteeen	3.000000	5.000000	right	1
cho	51.000000	0.000000	left	1
cthy	51.000000	3.000000	left	1
otchy	0.000000	14.000000	right	1
qotcho	0.000000	9.000000	right	1
dy	2.000000	30.000000	right	1
tshy	0.000000	0.000000	unknown	0
shody	0.000000	0.000000	unknown	0
qoaiin	0.000000	0.000000	unknown	0
cholols	53.000000	0.000000	left	1
sho	0.000000	0.000000	unknown	0
qotcheo	9.400000	9.000000	left	1
daiin	2.000000	30.000000	right	1
shodaiin	0.000000	0.000000	unknown	0
sho	0.000000	0.000000	unknown	0
cheor	60.400000	0.000000	left	1
chey	60.400000	0.000000	left	1
qoeeey	31.000000	0.000000	left	1
qoykeeey	6.000000	2.000000	left	1
qoeor	28.000000	0.000000	left	1
cthy	51.000000	3.000000	left	1
shotshy	0.000000	0.000000	unknown	0
dy	2.000000	30.000000	right	1
kocheor	11.400000	24.000000	right	1
chor	51.000000	0.000000	left	1
ytchey	9.400000	49.000000	right	1
pshod	0.000000	0.000000	unknown	0
chols	53.000000	0.000000	left	1
chodaiin	51.000000	0.000000	left	1
ytoiiin	0.000000	4.000000	right	1
daiin	2.000000	30.000000	right	1
dchol	32.000000	36.000000	right	1
sy	0.000000	0.000000	unknown	0
chol	51.000000	0.000000	left	1
otaiin	0.000000	5.000000	right	1
dain	2.000000	30.000000	right	1
cthor	51.000000	3.000000	left	1
chots	51.000000	0.000000	left	1
ychopordg	30.000000	3.000000	left	1
qotcho	0.000000	9.000000	right	1
ytor	0.000000	4.000000	right	1
daiin	2.000000	30.000000	right	1
daiin	2.000000	30.000000	right	1
otchor	0.000000	14.000000	right	1
daiir	2.000000	30.000000	right	1
qo	0.000000	0.000000	unknown	0
darchor	2.000000	30.000000	right	1
do	2.000000	30.000000	right	1
qotor	0.000000	0.000000	unknown	0
shees	9.000000	0.000000	left	1
otol	0.000000	5.000000	right	1
ykoiin	43.200000	3.600000	left	1
shol	0.000000	0.000000	unknown	0
daiin	2.000000	30.000000	right	1
cthor	51.000000	3.000000	left	1
okchy	0.750000	77.000000	right	1
taiin	0.000000	0.000000	unknown	0
shokeeol	9.750000	0.000000	left	1
chor	51.000000	0.000000	left	1
cheotol	60.400000	0.000000	left	1
otchol	0.000000	14.000000	right	1
daiin	2.000000	30.000000	right	1
dal	2.000000	30.000000	right	1
chol	51.000000	0.000000	left	1
chotaiin	51.000000	0.000000	left	1
chopchol	51.000000	8.000000	left	1
otcham	0.000000	14.000000	right	1
cthor	51.000000	3.000000	left	1
chotols	53.000000	0.000000	left	1
ykeor	46.200000	3.600000	left	1
ytaiin	0.000000	4.000000	right	1
dar	2.000000	30.000000	right	1
yaiir	0.000000	0.000000	unknown	0
chy	51.000000	0.000000	left	1
odam	0.000000	5.000000	right	1
ydaiin	0.000000	0.000000	unknown	0
daiin	2.000000	30.000000	right	1
qodaiin	0.000000	0.000000	unknown	0
cho	51.000000	0.000000	left	1
s	0.000000	0.000000	unknown	0
chol	51.000000	0.000000	left	1
okaiin	0.750000	77.000000	right	1
s	0.000000	0.000000	unknown	0
ychol	30.000000	0.000000	left	1
ckhor	77.000000	0.000000	left	1
pchar	0.000000	2.000000	right	1
sheo	6.000000	0.000000	left	1
ckhaiin	77.000000	0.000000	left	1
dar	2.000000	30.000000	right	1
sheeol	9.000000	0.000000	left	1
skaiiodar	0.000000	0.000000	unknown	0
otaiin	0.000000	5.000000	right	1
chory	51.000000	0.000000	left	1
tchor	0.000000	7.000000	right	1
ctheod	57.000000	3.000000	left	1
chy	51.000000	0.000000	left	1
shor	0.000000	0.000000	unknown	0
odshe	30.000000	5.000000	left	1
od	0.000000	5.000000	right	1
ychar	30.000000	0.000000	left	1
olchad	0.000000	45.000000	right	1
ol	0.000000	5.000000	right	1
chokaiin	51.750000	0.000000	left	1
or	0.000000	5.000000	right	1
shol	0.000000	0.000000	unknown	0
cthom	51.000000	3.000000	left	1
chor	51.000000	0.000000	left	1
cthy	51.000000	3.000000	left	1
qocthol	0.000000	3.000000	right	1
qodaiin	0.000000	0.000000	unknown	0
cthy	51.000000	3.000000	left	1
koar	2.000000	24.000000	right	1
y	0.000000	0.000000	unknown	0
sar	0.000000	0.000000	unknown	0
oheekar	9.000000	5.000000	left	1
qoar	0.000000	0.000000	unknown	0
shor	0.000000	0.000000	unknown	0
chapchy	51.000000	2.000000	left	1
s	0.000000	0.000000	unknown	0
chear	60.400000	0.000000	left	1
char	51.000000	0.000000	left	1
otchy	0.000000	14.000000	right	1
oees	5.000000	5.000000	tie	1
chor	51.000000	0.000000	left	1
chckhy	51.000000	24.000000	left	1
qoekchar	28.000000	0.000000	left	1
cheas	60.400000	0.000000	left	1
odaiin	0.000000	5.000000	right	1
kchey	37.400000	24.000000	left	1
chor	51.000000	0.000000	left	1
chaiin	51.000000	0.000000	left	1
rychos	4.000000	0.000000	left	1
ytody	0.000000	4.000000	right	1
tchody	0.000000	7.000000	right	1
shocthol	0.000000	3.000000	right	1
chocthey	57.000000	3.000000	left	1
s	0.000000	0.000000	unknown	0
ychos	30.000000	0.000000	left	1
ychol	30.000000	0.000000	left	1
daiin	2.000000	30.000000	right	1
cthol	51.000000	3.000000	left	1
dol	2.000000	30.000000	right	1
ychor	30.000000	0.000000	left	1
chor	51.000000	0.000000	left	1
okchey	10.150000	77.000000	right	1
qokom	39.750000	0.000000	left	1
oeeo	5.000000	5.000000	tie	1
dal	2.000000	30.000000	right	1
chor	51.000000	0.000000	left	1
cthom	51.000000	3.000000	left	1
s	0.000000	0.000000	unknown	0
qokche	110.350000	0.000000	left	1
ychear	39.400000	0.000000	left	1
kchdy	28.000000	24.000000	left	1
lor	0.000000	0.000000	unknown	0
char	51.000000	0.000000	left	1
otam	0.000000	5.000000	right	1
cthom	51.000000	3.000000	left	1
dy	2.000000	30.000000	right	1
ytchos	0.000000	49.000000	right	1
shy	0.000000	0.000000	unknown	0
qokam	39.750000	0.000000	left	1
cthy	51.000000	3.000000	left	1
yodaiin	0.000000	0.000000	unknown	0
cthy	51.000000	3.000000	left	1
s	0.000000	0.000000	unknown	0
chor	51.000000	0.000000	left	1
oees	5.000000	5.000000	tie	1
or	0.000000	5.000000	right	1
qokor	39.750000	0.000000	left	1
chol	51.000000	0.000000	left	1
cthol	51.000000	3.000000	left	1
tchalody	0.000000	7.000000	right	1
chockhy	51.000000	0.000000	left	1
s	0.000000	0.000000	unknown	0
os	0.000000	5.000000	right	1
chy	51.000000	0.000000	left	1
sain	0.000000	0.000000	unknown	0
or	0.000000	5.000000	right	1
ochy	0.000000	5.000000	right	1
cthar	51.000000	3.000000	left	1
cthar	51.000000	3.000000	left	1
cthy	51.000000	3.000000	left	1
y	0.000000	0.000000	unknown	0
chaiir	51.000000	0.000000	left	1
ckhal	77.000000	0.000000	left	1
cthodam	51.000000	3.000000	left	1
dy	2.000000	30.000000	right	1
ytcho	0.000000	49.000000	right	1
cthol	51.000000	3.000000	left	1
ches	60.400000	0.000000	left	1
cthor	51.000000	3.000000	left	1
ocholy	0.000000	5.000000	right	1
kchos	28.000000	24.000000	left	1
chy	51.000000	0.000000	left	1
dor	2.000000	30.000000	right	1
dchor	32.000000	36.000000	right	1
choldar	51.000000	0.000000	left	1
okol	0.750000	77.000000	right	1
daiin	2.000000	30.000000	right	1
shey	6.000000	0.000000	left	1
qoos	0.000000	0.000000	unknown	0
sheey	9.000000	0.000000	left	1
chorochy	51.000000	0.000000	left	1
dchey	41.400000	36.000000	left	1
kchey	37.400000	24.000000	left	1
otchy	0.000000	14.000000	right	1
cheody	60.400000	0.000000	left	1
ytcheey	12.400000	49.000000	right	1
qotchy	0.000000	9.000000	right	1
chald	51.000000	0.000000	left	1
odaiin	0.000000	5.000000	right	1
otchor	0.000000	14.000000	right	1
choaiin	51.000000	0.000000	left	1
shody	0.000000	0.000000	unknown	0
shol	0.000000	0.000000	unknown	0
chotchy	51.000000	9.000000	left	1
shol	0.000000	0.000000	unknown	0
keey	8.000000	24.000000	right	1
choty	51.000000	0.000000	left	1
dain	2.000000	30.000000	right	1
shckhy	0.000000	24.000000	right	1
chochy	51.000000	0.000000	left	1
kchod	28.000000	24.000000	left	1
polyshy	0.000000	0.000000	unknown	0
