tok_id	token	left_score	right_score	pred_side	rule_hits
118	kchy	28.0	24.0	left	1
119	dor	2.0	30.0	right	1
120	chodaiin	51.0	0.0	left	1
121	sho	0.0	0.0	unknown	0
122	kchom	28.0	24.0	left	1
123	ycho	30.0	0.0	left	1
124	tchey	9.4	7.0	left	1
125	chokain	51.75	0.0	left	1
126	sheo	6.0	0.0	left	1
127	pshol	0.0	0.0	unknown	0
128	dydyd	2.0	30.0	right	1
129	cthy	51.0	3.0	left	1
130	daicthy	2.0	33.0	right	1
131	yto	0.0	4.0	right	1
132	shol	0.0	0.0	unknown	0
133	she	24.0	0.0	left	1
134	kodshey	8.0	24.0	right	1
135	cphealy	57.0	0.0	left	1
136	dasain	2.0	30.0	right	1
137	dain	2.0	30.0	right	1
138	ckhyds	77.0	0.0	left	1
139	dchar	32.0	36.0	right	1
140	shcthaiin	0.0	31.0	right	1
141	okaiir	0.75	77.0	right	1
142	chey	60.4	0.0	left	1
143	rchy	0.0	0.0	unknown	0
144	potol	0.0	0.0	unknown	0
145	cthols	53.0	3.0	left	1
146	dlocta	2.0	33.0	right	1
147	shok	29.55	0.0	left	1
148	chor	51.0	0.0	left	1
149	chey	60.4	0.0	left	1
150	dain	2.0	30.0	right	1
151	ckhey	83.0	0.0	left	1
152	cpho	51.0	0.0	left	1
153	shaiin	0.0	0.0	unknown	0
154	shokcheey	13.15	0.0	left	1
155	chol	51.0	0.0	left	1
156	tshodeesy	3.0	0.0	left	1
157	shey	6.0	0.0	left	1
158	pydeey	3.0	0.0	left	1
159	chy	51.0	0.0	left	1
160	ro	0.0	0.0	unknown	0
161	d	2.0	30.0	right	1
162	doin	2.0	30.0	right	1
163	chol	51.0	0.0	left	1
164	dain	2.0	30.0	right	1
165	cthal	51.0	3.0	left	1
166	dar	2.0	30.0	right	1
167	shear	6.0	0.0	left	1
168	kaiin	2.0	24.0	right	1
169	dar	2.0	30.0	right	1
170	shey	6.0	0.0	left	1
171	cthar	51.0	3.0	left	1
172	choo	51.0	0.0	left	1
173	kaiin	2.0	24.0	right	1
174	shoaiin	0.0	0.0	unknown	0
175	okol	0.75	77.0	right	1
176	daiin	2.0	30.0	right	1
177	far	0.0	0.0	unknown	0
178	cthol	51.0	3.0	left	1
179	daiin	2.0	30.0	right	1
180	ctholdar	51.0	3.0	left	1
181	ycheey	42.4	0.0	left	1
182	okay	0.75	77.0	right	1
183	oky	0.75	77.0	right	1
184	daiin	2.0	30.0	right	1
185	okchey	10.15	77.0	right	1
186	kokaiin	2.75	24.0	right	1
187	chol	51.0	0.0	left	1
188	kchy	28.0	24.0	left	1
189	dal	2.0	30.0	right	1
190	deeo	5.0	30.0	right	1
191	shody	0.0	0.0	unknown	0
192	koshey	8.0	24.0	right	1
193	cthy	51.0	3.0	left	1
194	okchey	10.15	77.0	right	1
195	keey	8.0	24.0	right	1
196	keey	8.0	24.0	right	1
197	dal	2.0	30.0	right	1
198	chtor	51.0	0.0	left	1
199	eo	0.0	0.0	unknown	0
200	chol	51.0	0.0	left	1
201	chok	98.55	0.0	left	1
202	choty	51.0	0.0	left	1
203	chotey	51.0	0.0	left	1
204	oltchey	9.4	12.0	right	1
205	char	51.0	0.0	left	1
206	cfhar	51.0	0.0	left	1
207	am	0.0	0.0	unknown	0
208	dcho	32.0	36.0	right	1
209	lkody	0.0	0.0	unknown	0
210	okodar	0.75	77.0	right	1
211	chody	51.0	0.0	left	1
212	dksheey	11.0	30.0	right	1
213	cthy	51.0	3.0	left	1
214	kotchody	2.0	33.0	right	1
215	dal	2.0	30.0	right	1
216	dar	2.0	30.0	right	1
217	chey	60.4	0.0	left	1
218	tody	0.0	0.0	unknown	0
219	otoaiin	0.0	5.0	right	1
220	shoshy	0.0	0.0	unknown	0
221	dolchey	11.4	34.0	right	1
222	chodo	51.0	0.0	left	1
223	lol	0.0	0.0	unknown	0
224	chy	51.0	0.0	left	1
225	cthy	51.0	3.0	left	1
226	ykol	43.2	3.6	left	1
227	dol	2.0	30.0	right	1
228	dolo	2.0	30.0	right	1
229	ykol	43.2	3.6	left	1
230	do	2.0	30.0	right	1
231	lchody	0.0	2.0	right	1
232	chol	51.0	0.0	left	1
233	cthol	51.0	3.0	left	1
234	chody	51.0	0.0	left	1
235	chol	51.0	0.0	left	1
236	daiin	2.0	30.0	right	1
237	shol	0.0	0.0	unknown	0
238	dchor	32.0	36.0	right	1
239	otcho	0.0	14.0	right	1
240	dar	2.0	30.0	right	1
241	shody	0.0	0.0	unknown	0
242	ypchaiin	0.0	2.0	right	1
243	ckholsy	79.0	0.0	left	1
244	shor	0.0	0.0	unknown	0
245	cthy	51.0	3.0	left	1
246	cth	69.0	20.0	left	1
247	chaiin	51.0	0.0	left	1
248	chokaiin	51.75	0.0	left	1
249	d	2.0	30.0	right	1
250	ytchaiin	0.0	49.0	right	1
251	dan	2.0	30.0	right	1
252	dchol	32.0	36.0	right	1
253	dchy	32.0	36.0	right	1
254	cthy	51.0	3.0	left	1
255	yksh	49.2	20.6	left	1
256	olsheey	13.0	5.0	left	1
257	daiildy	2.0	30.0	right	1
258	chol	51.0	0.0	left	1
259	yky	43.2	3.6	left	1
260	dain	2.0	30.0	right	1
261	daiirol	2.0	30.0	right	1
262	cthey	57.0	3.0	left	1
263	keol	5.0	24.0	right	1
264	saiin	0.0	0.0	unknown	0
265	saiin	0.0	0.0	unknown	0
266	olsaiin	2.0	5.0	right	1
267	sheey	9.0	0.0	left	1
268	ckhor	77.0	0.0	left	1
269	saiin	0.0	0.0	unknown	0
270	chety	60.4	0.0	left	1
271	chyky	51.0	2.0	left	1
272	sal	0.0	0.0	unknown	0
273	dair	2.0	30.0	right	1
274	shty	0.0	0.0	unknown	0
275	chor	51.0	0.0	left	1
276	daiin	2.0	30.0	right	1
277	chcthy	51.0	31.0	left	1
278	daiin	2.0	30.0	right	1
279	s	0.0	0.0	unknown	0
280	shey	6.0	0.0	left	1
281	dor	2.0	30.0	right	1
282	chol	51.0	0.0	left	1
283	daiin	2.0	30.0	right	1
284	daiin	2.0	30.0	right	1
285	otchor	0.0	14.0	right	1
286	chan	51.0	0.0	left	1
287	chees	63.4	0.0	left	1
288	chr	51.0	0.0	left	1
289	cheaiin	60.4	0.0	left	1
290	tsheos	6.0	0.0	left	1
291	qopal	0.0	29.0	right	1
292	chol	51.0	0.0	left	1
293	cthol	51.0	3.0	left	1
294	daimm	2.0	30.0	right	1
295	ycheor	39.4	0.0	left	1
296	chor	51.0	0.0	left	1
297	dam	2.0	30.0	right	1
298	qotcham	0.0	9.0	right	1
299	cham	51.0	0.0	left	1
300	ochor	0.0	5.0	right	1
301	qocheor	9.4	0.0	left	1
302	chol	51.0	0.0	left	1
303	daiin	2.0	30.0	right	1
304	cthy	51.0	3.0	left	1
305	schey	9.4	0.0	left	1
306	chor	51.0	0.0	left	1
307	chal	51.0	0.0	left	1
308	cham	51.0	0.0	left	1
309	cham	51.0	0.0	left	1
310	cho	51.0	0.0	left	1
311	qokol	39.75	0.0	left	1
312	chololy	51.0	0.0	left	1
313	s	0.0	0.0	unknown	0
314	cham	51.0	0.0	left	1
315	cthol	51.0	3.0	left	1
316	ychtaiin	30.0	0.0	left	1
317	chor	51.0	0.0	left	1
318	cthom	51.0	3.0	left	1
319	otal	0.0	5.0	right	1
320	dam	2.0	30.0	right	1
321	otchol	0.0	14.0	right	1
322	qodaiin	0.0	0.0	unknown	0
323	chom	51.0	0.0	left	1
324	shom	0.0	0.0	unknown	0
325	damo	2.0	30.0	right	1
326	ysheor	6.0	0.0	left	1
327	chor	51.0	0.0	left	1
328	chol	51.0	0.0	left	1
329	oky	0.75	77.0	right	1
330	damo	2.0	30.0	right	1
331	sho	0.0	0.0	unknown	0
332	or	0.0	5.0	right	1
333	sheoldam	6.0	0.0	left	1
334	otchody	0.0	14.0	right	1
335	ol	0.0	5.0	right	1
336	pcheol	9.4	2.0	left	1
337	shol	0.0	0.0	unknown	0
338	sols	2.0	0.0	left	1
339	sheol	6.0	0.0	left	1
340	shey	6.0	0.0	left	1
341	okadaiin	0.75	77.0	right	1
342	qokchor	39.75	0.0	left	1
343	qoschodam	0.0	0.0	unknown	0
344	octhy	0.0	8.0	right	1
345	qokeey	48.75	0.0	left	1
346	qot	0.0	2.0	right	1
347	shey	6.0	0.0	left	1
348	qokody	39.75	0.0	left	1
349	qokchey	49.15	0.0	left	1
350	cheody	60.4	0.0	left	1
351	oporar	0.0	8.0	right	1
352	soleeg	3.0	0.0	left	1
353	otolom	0.0	5.0	right	1
354	chor	51.0	0.0	left	1
355	cthy	51.0	3.0	left	1
356	koaiin	2.0	24.0	right	1
357	cphor	51.0	0.0	left	1
358	qotoy	0.0	0.0	unknown	0
359	sha	0.0	0.0	unknown	0
360	ckhol	77.0	0.0	left	1
361	ykoaiin	43.2	3.6	left	1
362	s	0.0	0.0	unknown	0
363	oly	0.0	5.0	right	1
364	daiidy	2.0	30.0	right	1
365	qoteeol	3.0	0.0	left	1
366	okchor	0.75	77.0	right	1
367	okor	0.75	77.0	right	1
368	olytol	0.0	7.0	right	1
369	dol	2.0	30.0	right	1
370	dar	2.0	30.0	right	1
371	okom	0.75	77.0	right	1
372	chol	51.0	0.0	left	1
373	shol	0.0	0.0	unknown	0
374	seees	3.0	0.0	left	1
375	chom	51.0	0.0	left	1
376	cheeykam	63.4	2.0	left	1
377	okai	0.75	77.0	right	1
378	qodar	0.0	0.0	unknown	0
379	ees	3.0	0.0	left	1
380	eey	3.0	0.0	left	1
381	kcheol	37.4	24.0	left	1
382	okal	0.75	77.0	right	1
383	do	2.0	30.0	right	1
384	r	0.0	0.0	unknown	0
385	chear	60.4	0.0	left	1
386	een	3.0	0.0	left	1
387	yeeear	3.0	0.0	left	1
388	otchal	0.0	14.0	right	1
389	eeor	3.0	0.0	left	1
390	eear	3.0	0.0	left	1
391	ckhy	77.0	0.0	left	1
392	tchor	0.0	7.0	right	1
393	otcham	0.0	14.0	right	1
394	chor	51.0	0.0	left	1
395	cfham	51.0	0.0	left	1
396	s	0.0	0.0	unknown	0
397	ykchy	43.2	27.2	left	1
398	kchom	28.0	24.0	left	1
399	chor	51.0	0.0	left	1
400	chekeol	63.4	0.0	left	1
401	oka	0.75	77.0	right	1
402	ytcheear	12.4	49.0	right	1
403	okeol	6.75	77.0	right	1
404	cthodoaly	51.0	3.0	left	1
405	chor	51.0	0.0	left	1
406	cthy	51.0	3.0	left	1
407	ochor	0.0	5.0	right	1
408	daiin	2.0	30.0	right	1
409	qokshol	39.75	0.0	left	1
410	daiim	2.0	30.0	right	1
411	chol	51.0	0.0	left	1
412	okary	0.75	77.0	right	1
413	sho	0.0	0.0	unknown	0
414	shockho	0.0	0.0	unknown	0
415	ckhy	77.0	0.0	left	1
416	tchor	0.0	7.0	right	1
417	chodaiin	51.0	0.0	left	1
418	chom	51.0	0.0	left	1
419	osh	0.0	28.0	right	1
420	chodair	51.0	0.0	left	1
421	ytchy	0.0	49.0	right	1
422	tchor	0.0	7.0	right	1
423	kcham	28.0	24.0	left	1
424	s	0.0	0.0	unknown	0
425	shar	0.0	0.0	unknown	0
426	shkaiin	0.0	0.0	unknown	0
427	qokchy	39.75	0.0	left	1
428	yty	0.0	4.0	right	1
429	cthal	51.0	3.0	left	1
430	chky	51.0	0.0	left	1
431	doiin	2.0	30.0	right	1
432	chor	51.0	0.0	left	1
433	ytoy	0.0	4.0	right	1
434	choraiin	51.0	0.0	left	1
435	chom	51.0	0.0	left	1
436	daiin	2.0	30.0	right	1
437	shain	0.0	0.0	unknown	0
438	pydaiin	0.0	0.0	unknown	0
439	qotchy	0.0	9.0	right	1
440	dy	2.0	30.0	right	1
441	tydy	0.0	0.0	unknown	0
442	chor	51.0	0.0	left	1
443	shytchy	0.0	11.0	right	1
444	dy	2.0	30.0	right	1
445	tcheay	9.4	7.0	left	1
446	qotaiin	0.0	0.0	unknown	0
447	cthol	51.0	3.0	left	1
448	daiin	2.0	30.0	right	1
449	cthom	51.0	3.0	left	1
450	shor	0.0	0.0	unknown	0
451	shol	0.0	0.0	unknown	0
452	shol	0.0	0.0	unknown	0
453	cthy	51.0	3.0	left	1
454	cpholdy	51.0	0.0	left	1
455	daiin	2.0	30.0	right	1
456	ckhochy	77.0	0.0	left	1
457	tchy	0.0	7.0	right	1
458	koraiin	2.0	24.0	right	1
459	odal	0.0	5.0	right	1
460	shor	0.0	0.0	unknown	0
461	shyshol	0.0	0.0	unknown	0
462	cphaiin	51.0	0.0	left	1
463	qotchoiin	0.0	9.0	right	1
464	sheyr	6.0	0.0	left	1
465	qoty	0.0	0.0	unknown	0
466	soiin	0.0	0.0	unknown	0
467	chaiin	51.0	0.0	left	1
468	chaiin	51.0	0.0	left	1
469	dlod	2.0	30.0	right	1
470	choldy	51.0	0.0	left	1
471	o	0.0	5.0	right	1
472	ar	0.0	0.0	unknown	0
473	am	0.0	0.0	unknown	0
474	choaiin	51.0	0.0	left	1
475	chodain	51.0	0.0	left	1
476	torchy	0.0	0.0	unknown	0
477	sheeor	9.0	0.0	left	1
478	chor	51.0	0.0	left	1
479	shokchy	0.75	0.0	left	1
480	cphydy	51.0	0.0	left	1
481	olaen	0.0	5.0	right	1
482	chor	51.0	0.0	left	1
483	cthol	51.0	3.0	left	1
484	sho	0.0	0.0	unknown	0
485	otor	0.0	5.0	right	1
486	cthory	51.0	3.0	left	1
487	qooko	0.75	0.0	left	1
488	iiincheom	9.4	0.0	left	1
489	chcthy	51.0	31.0	left	1
490	shoky	0.75	0.0	left	1
491	daiin	2.0	30.0	right	1
492	otaiin	0.0	5.0	right	1
493	sheo	6.0	0.0	left	1
494	okeody	6.75	77.0	right	1
495	chol	51.0	0.0	left	1
496	chokeody	57.75	0.0	left	1
497	sho	0.0	0.0	unknown	0
498	kcheor	37.4	24.0	left	1
499	shody	0.0	0.0	unknown	0
500	shtaiin	0.0	0.0	unknown	0
501	qotol	0.0	0.0	unknown	0
502	daiin	2.0	30.0	right	1
503	qokoy	39.75	0.0	left	1
504	sho	0.0	0.0	unknown	0
505	okeol	6.75	77.0	right	1
506	s	0.0	0.0	unknown	0
507	keey	8.0	24.0	right	1
508	shar	0.0	0.0	unknown	0
509	char	51.0	0.0	left	1
510	ody	0.0	5.0	right	1
511	shody	0.0	0.0	unknown	0
512	s	0.0	0.0	unknown	0
513	cheor	60.4	0.0	left	1
514	chokody	51.75	0.0	left	1
515	shodaiin	0.0	0.0	unknown	0
516	qoty	0.0	0.0	unknown	0
517	kshody	2.0	24.0	right	1
518	fchoy	0.0	0.0	unknown	0
519	chkoy	51.0	0.0	left	1
520	oaiin	0.0	5.0	right	1
521	oar	0.0	5.0	right	1
522	olsy	2.0	5.0	right	1
523	chody	51.0	0.0	left	1
524	dkshy	2.0	30.0	right	1
525	dy	2.0	30.0	right	1
526	ochey	9.4	5.0	left	1
527	okey	6.75	77.0	right	1
528	qokaiin	39.75	0.0	left	1
529	sho	0.0	0.0	unknown	0
530	ckhoy	77.0	0.0	left	1
531	cthey	57.0	3.0	left	1
532	chey	60.4	0.0	left	1
533	okaor	0.75	77.0	right	1
534	otol	0.0	5.0	right	1
535	qoaiin	0.0	0.0	unknown	0
536	otan	0.0	5.0	right	1
537	chy	51.0	0.0	left	1
538	daiin	2.0	30.0	right	1
539	oteeen	3.0	5.0	right	1
540	cho	51.0	0.0	left	1
541	cthy	51.0	3.0	left	1
542	otchy	0.0	14.0	right	1
543	qotcho	0.0	9.0	right	1
544	dy	2.0	30.0	right	1
545	tshy	0.0	0.0	unknown	0
546	shody	0.0	0.0	unknown	0
547	qoaiin	0.0	0.0	unknown	0
548	cholols	53.0	0.0	left	1
549	sho	0.0	0.0	unknown	0
550	qotcheo	9.4	9.0	left	1
551	daiin	2.0	30.0	right	1
552	shodaiin	0.0	0.0	unknown	0
553	sho	0.0	0.0	unknown	0
554	cheor	60.4	0.0	left	1
555	chey	60.4	0.0	left	1
556	qoeeey	31.0	0.0	left	1
557	qoykeeey	6.0	2.0	left	1
558	qoeor	28.0	0.0	left	1
559	cthy	51.0	3.0	left	1
560	shotshy	0.0	0.0	unknown	0
561	dy	2.0	30.0	right	1
562	kocheor	11.4	24.0	right	1
563	chor	51.0	0.0	left	1
564	ytchey	9.4	49.0	right	1
565	pshod	0.0	0.0	unknown	0
566	chols	53.0	0.0	left	1
567	chodaiin	51.0	0.0	left	1
568	ytoiiin	0.0	4.0	right	1
569	daiin	2.0	30.0	right	1
570	dchol	32.0	36.0	right	1
571	sy	0.0	0.0	unknown	0
572	chol	51.0	0.0	left	1
573	otaiin	0.0	5.0	right	1
574	dain	2.0	30.0	right	1
575	cthor	51.0	3.0	left	1
576	chots	51.0	0.0	left	1
577	ychopordg	30.0	3.0	left	1
578	qotcho	0.0	9.0	right	1
579	ytor	0.0	4.0	right	1
580	daiin	2.0	30.0	right	1
581	daiin	2.0	30.0	right	1
582	otchor	0.0	14.0	right	1
583	daiir	2.0	30.0	right	1
584	qo	0.0	0.0	unknown	0
585	darchor	2.0	30.0	right	1
586	do	2.0	30.0	right	1
587	qotor	0.0	0.0	unknown	0
588	shees	9.0	0.0	left	1
589	otol	0.0	5.0	right	1
590	ykoiin	43.2	3.6	left	1
591	shol	0.0	0.0	unknown	0
592	daiin	2.0	30.0	right	1
593	cthor	51.0	3.0	left	1
594	okchy	0.75	77.0	right	1
595	taiin	0.0	0.0	unknown	0
596	shokeeol	9.75	0.0	left	1
597	chor	51.0	0.0	left	1
598	cheotol	60.4	0.0	left	1
599	otchol	0.0	14.0	right	1
600	daiin	2.0	30.0	right	1
601	dal	2.0	30.0	right	1
602	chol	51.0	0.0	left	1
603	chotaiin	51.0	0.0	left	1
604	chopchol	51.0	8.0	left	1
605	otcham	0.0	14.0	right	1
606	cthor	51.0	3.0	left	1
607	chotols	53.0	0.0	left	1
608	ykeor	46.2	3.6	left	1
609	ytaiin	0.0	4.0	right	1
610	dar	2.0	30.0	right	1
611	yaiir	0.0	0.0	unknown	0
612	chy	51.0	0.0	left	1
613	odam	0.0	5.0	right	1
614	ydaiin	0.0	0.0	unknown	0
615	daiin	2.0	30.0	right	1
616	qodaiin	0.0	0.0	unknown	0
617	cho	51.0	0.0	left	1
618	s	0.0	0.0	unknown	0
619	chol	51.0	0.0	left	1
620	okaiin	0.75	77.0	right	1
621	s	0.0	0.0	unknown	0
622	ychol	30.0	0.0	left	1
623	ckhor	77.0	0.0	left	1
624	pchar	0.0	2.0	right	1
625	sheo	6.0	0.0	left	1
626	ckhaiin	77.0	0.0	left	1
627	dar	2.0	30.0	right	1
628	sheeol	9.0	0.0	left	1
629	skaiiodar	0.0	0.0	unknown	0
630	otaiin	0.0	5.0	right	1
631	chory	51.0	0.0	left	1
632	tchor	0.0	7.0	right	1
633	ctheod	57.0	3.0	left	1
634	chy	51.0	0.0	left	1
635	shor	0.0	0.0	unknown	0
636	odshe	30.0	5.0	left	1
637	od	0.0	5.0	right	1
638	ychar	30.0	0.0	left	1
639	olchad	0.0	45.0	right	1
640	ol	0.0	5.0	right	1
641	chokaiin	51.75	0.0	left	1
642	or	0.0	5.0	right	1
643	shol	0.0	0.0	unknown	0
644	cthom	51.0	3.0	left	1
645	chor	51.0	0.0	left	1
646	cthy	51.0	3.0	left	1
647	qocthol	0.0	3.0	right	1
648	qodaiin	0.0	0.0	unknown	0
649	cthy	51.0	3.0	left	1
650	koar	2.0	24.0	right	1
651	y	0.0	0.0	unknown	0
652	sar	0.0	0.0	unknown	0
653	oheekar	9.0	5.0	left	1
654	qoar	0.0	0.0	unknown	0
655	shor	0.0	0.0	unknown	0
656	chapchy	51.0	2.0	left	1
657	s	0.0	0.0	unknown	0
658	chear	60.4	0.0	left	1
659	char	51.0	0.0	left	1
660	otchy	0.0	14.0	right	1
661	oees	5.0	5.0	tie	1
662	chor	51.0	0.0	left	1
663	chckhy	51.0	24.0	left	1
664	qoekchar	28.0	0.0	left	1
665	cheas	60.4	0.0	left	1
666	odaiin	0.0	5.0	right	1
667	kchey	37.4	24.0	left	1
668	chor	51.0	0.0	left	1
669	chaiin	51.0	0.0	left	1
670	rychos	4.0	0.0	left	1
671	ytody	0.0	4.0	right	1
672	tchody	0.0	7.0	right	1
673	shocthol	0.0	3.0	right	1
674	chocthey	57.0	3.0	left	1
675	s	0.0	0.0	unknown	0
676	ychos	30.0	0.0	left	1
677	ychol	30.0	0.0	left	1
678	daiin	2.0	30.0	right	1
679	cthol	51.0	3.0	left	1
680	dol	2.0	30.0	right	1
681	ychor	30.0	0.0	left	1
682	chor	51.0	0.0	left	1
683	okchey	10.15	77.0	right	1
684	qokom	39.75	0.0	left	1
685	oeeo	5.0	5.0	tie	1
686	dal	2.0	30.0	right	1
687	chor	51.0	0.0	left	1
688	cthom	51.0	3.0	left	1
689	s	0.0	0.0	unknown	0
690	qokche	110.35	0.0	left	1
691	ychear	39.4	0.0	left	1
692	kchdy	28.0	24.0	left	1
693	lor	0.0	0.0	unknown	0
694	char	51.0	0.0	left	1
695	otam	0.0	5.0	right	1
696	cthom	51.0	3.0	left	1
697	dy	2.0	30.0	right	1
698	ytchos	0.0	49.0	right	1
699	shy	0.0	0.0	unknown	0
700	qokam	39.75	0.0	left	1
701	cthy	51.0	3.0	left	1
702	yodaiin	0.0	0.0	unknown	0
703	cthy	51.0	3.0	left	1
704	s	0.0	0.0	unknown	0
705	chor	51.0	0.0	left	1
706	oees	5.0	5.0	tie	1
707	or	0.0	5.0	right	1
708	qokor	39.75	0.0	left	1
709	chol	51.0	0.0	left	1
710	cthol	51.0	3.0	left	1
711	tchalody	0.0	7.0	right	1
712	chockhy	51.0	0.0	left	1
713	s	0.0	0.0	unknown	0
714	os	0.0	5.0	right	1
715	chy	51.0	0.0	left	1
716	sain	0.0	0.0	unknown	0
717	or	0.0	5.0	right	1
718	ochy	0.0	5.0	right	1
719	cthar	51.0	3.0	left	1
720	cthar	51.0	3.0	left	1
721	cthy	51.0	3.0	left	1
722	y	0.0	0.0	unknown	0
723	chaiir	51.0	0.0	left	1
724	ckhal	77.0	0.0	left	1
725	cthodam	51.0	3.0	left	1
726	dy	2.0	30.0	right	1
727	ytcho	0.0	49.0	right	1
728	cthol	51.0	3.0	left	1
729	ches	60.4	0.0	left	1
730	cthor	51.0	3.0	left	1
731	ocholy	0.0	5.0	right	1
732	kchos	28.0	24.0	left	1
733	chy	51.0	0.0	left	1
734	dor	2.0	30.0	right	1
735	dchor	32.0	36.0	right	1
736	choldar	51.0	0.0	left	1
737	okol	0.75	77.0	right	1
738	daiin	2.0	30.0	right	1
739	shey	6.0	0.0	left	1
740	qoos	0.0	0.0	unknown	0
741	sheey	9.0	0.0	left	1
742	chorochy	51.0	0.0	left	1
743	dchey	41.4	36.0	left	1
744	kchey	37.4	24.0	left	1
745	otchy	0.0	14.0	right	1
746	cheody	60.4	0.0	left	1
747	ytcheey	12.4	49.0	right	1
748	qotchy	0.0	9.0	right	1
749	chald	51.0	0.0	left	1
750	odaiin	0.0	5.0	right	1
751	otchor	0.0	14.0	right	1
752	choaiin	51.0	0.0	left	1
753	shody	0.0	0.0	unknown	0
754	shol	0.0	0.0	unknown	0
755	chotchy	51.0	9.0	left	1
756	shol	0.0	0.0	unknown	0
757	keey	8.0	24.0	right	1
758	choty	51.0	0.0	left	1
759	dain	2.0	30.0	right	1
760	shckhy	0.0	24.0	right	1
761	chochy	51.0	0.0	left	1
762	kchod	28.0	24.0	left	1
763	polyshy	0.0	0.0	unknown	0
