folio	line	pos	token
f1	7	20	iinokyalqdyaiinrkainqo
f1	7	21	shedylhkookaiiniinarchedychy
f1	7	22	dyiinaindychedyqochyqokdyqok
f1	7	23	tardarcheolshedoltytiqokdorrc
f1	7	24	cheoliinainshedychedyshalqoqoke
f1	7	25	darqopqopshqocheolchedyqokcheyrh
f1	7	26	shedyqoplcalshechedyopqadilh
f1	7	27	cheolopredirhlhqotshedychedy
f1	7	28	artkichelhinorqoktydor
f1	7	29	eqoktorrhshchchedyariinqop
f1	7	30	qokindchedyqokqoplcchedyqoklk
f1	8	1	chedyqokchedyiindorchedyqoklkchedysh
f1	8	2	iindorkylcdelkchedyshamsh
f1	8	3	lcdekoqokdishamshqchey
f1	8	4	koshamsheerkylhlkty
f1	8	5	shiinyotcheyarchchedyyy
f1	8	6	ainchcheytekyychedyteiindo
f1	8	7	otqokyiinqarchedyqoiinsheki
f1	8	8	dyqkyokshdokishkych
f1	8	9	teqokarlhykiolkykyt
f1	8	10	yqoshekikyalshedyqiint
f1	8	11	chedychearolshshedyyiininche
f1	8	12	chelhkiaiintiinainqatdy
f1	8	13	lhshcheyokainchedychedchedarchy
f1	8	14	shkoqaiinarqochydyqokto
f1	8	15	cheolqaotcheqoktytilcqokche
f1	8	16	elhqokydaraintichedyqoktaiin
f1	8	17	tardarqoksheamcheaiindororar
f1	8	18	shedlcamchedyararaiindychaiin
f1	8	19	shedyqopqopkcheoltqokdichesh
f1	8	20	alkecheolreshaldeqokch
f1	8	21	eqokcheshqokqokartyiinqop
f1	8	22	qoktorlharinchedyrkaindorshedy
f1	8	23	tortaralindlkqokqopkychy
f1	8	24	dylkardydyqokchedykyshedyche
f1	8	25	dylhchedyqokshedydorcheolchdaror
f1	8	26	rkqokkychyqokcheorsheiintor
f1	8	27	shedychykodordartotorainotqa
f1	8	28	chytokeechetorqokchqokycheol
f1	8	29	chetdortoorqokchedyqokyqaar
f1	8	30	etorqokytoraraiinqokrl
f1	9	1	chedyrctorcheolcheolloltaryiin
f1	9	2	rcorchedyraiinchchrqook
f1	9	3	chyarcheolrchedchshqoiiny
f1	9	4	ortotkealshrkiinshedlh
f1	9	5	otaiinldorqopchedychyycheollh
f1	9	6	qopshychedycheolchedarkqokshe
f1	9	7	cheolqaotcheqoktytilcqokche
f1	9	8	elhqokydaraintichedyqoktaiin
f1	9	9	lhchedycheqashedrkarchechy
f1	9	10	lkydartelcrkycheaiinain
f1	9	11	lcshtirkaiindilchedyaiinky
f1	9	12	aiinshchedyydildyaiinaiindy
f1	9	13	rctqopykeainkotqokdy
f1	9	14	tchedyardycheolrhtokitorlk
f1	9	15	qodiytarottocheoltordyq
f1	9	16	otaraintodydyeeddyt
f1	9	17	rhcheoldyqintchedyrklkain
f1	9	18	cheolollkaineedyiinqokchedych
f1	9	19	eeqlhdychedytshdorcheolt
f1	9	20	chedyainchedytshtchedytotortor
f1	9	21	chedychotchyoktorrctorqokchedy
f1	9	22	shchyoktorolorotcheolaraiin
f1	9	23	dartorolorarraldylol
f1	9	24	cheolotralcheychshedlhtarsh
f1	9	25	otrrcheydeshoktarshal
f1	9	26	olchchshedokshalqdyq
f1	9	27	shalkodyaiinarshainlcto
f1	9	28	okdyaiinshdychedycheddycheolqok
f1	9	29	arshdychedqoqokchyinqshol
f1	9	30	yqyqochedyolainrktoop
f1	10	1	alqochedydarchedyalchedycheolqokqa
f1	10	2	cheolchedyainqopshkesheopare
f1	10	3	tykkechedycheoloprainki
f1	10	4	iinotrsheainkoqokkidyar
f1	10	5	otkoqokkitordyshalchd
f1	10	6	kodyshalarchinchdychedy
f1	10	7	dychinchddyqokarrkky
f1	10	8	tarinchddycheolarchedylkshedy
f1	10	9	qeedycheollhtrklkchedychy
f1	10	10	tchedyshedylkchycheqokkecheolche
f1	10	11	dychedychychetotdorcheoltoain
f1	10	12	ttocheorainchedytotorqokol
f1	10	13	chedyqokqokyqaolcheolqqokrktar
f1	10	14	chedyarqokrrkdylhtarrshed
f1	10	15	cheolaiinrrkdyltaryqolh
f1	10	16	chedolyrqoiinshedlhshq
f1	10	17	iinshcheyaiinqokotainarain
f1	10	18	okaryiinainchedychedarqokin
f1	10	19	aiindyainchedychedqodyqoklcar
f1	10	20	iinqchedychedqochyqokchytocheol
f1	10	21	shdchylctoyarcheolshshol
f1	10	22	shetiqoktarchedororrcch
f1	10	23	qopalqoshecheolchedyqokqaeche
f1	10	24	chedyecheydicherhopqotqokor
f1	10	25	optdicherhlhqotdeinchedy
f1	10	26	lhinshedyorchedychedyttyainlc
f1	10	27	inqoktyiinaindoroklcdeol
f1	10	28	dordeiinqokoldiaiinchedyainq
f1	10	29	qopchedyqokoldilkchedykoshy
f1	10	30	kochkoainshsheqyainchey
f1	11	1	qokdarainshsheiinyshotiin
f1	11	2	oldilkchkoainsheoteeiin
f1	11	3	qyshaineealiinarlkty
f1	11	4	alcheyiindyeeraryqashe
f1	11	5	eerkyarchedyysharaiinky
f1	11	6	ytyshyteiinarshrkqot
f1	11	7	shychedyqoshearkitcheal
f1	11	8	ychedyqocheardoolotqotshedy
f1	11	9	qocheshedlhkiolaiinrkaliin
f1	11	10	olcheyaiinqtotrkchedytdy
f1	11	11	chedamdychedyolllkalchyol
f1	11	12	dychedyoryarlkaiinaincheyko
f1	11	13	chedyoryqlkolqolcolchedy
f1	11	14	lkolaiinqotoralaintorcheolte
f1	11	15	alolainlcrkkotoropoksh
f1	11	16	chedyqopshalqoshechedytcheyrh
f1	11	17	qoshecheolchedyqokqaelhopqok
f1	11	18	qaaretdichelhinshedychedy
f1	11	19	aretqokcherhshchorqok
f1	11	20	deqokininorchedyqokqopokde
f1	11	21	doroklcchechedyiindilkainq
f1	11	22	chedyqokoldichchedyshsheshal
f1	11	23	shamqyainqcheyiinrchedy
f1	11	24	iinyshainchaldytearty
f1	11	25	toainotchqaiinqqokoky
f1	11	26	torchqokyqacheolterrktarqo
f1	11	27	olteqqokrkchtarycheki
f1	11	28	rchoklhyycheshedolch
f1	11	29	rkoklhtarrchedyshedlhcheyt
f1	11	30	rqocheshedtarkiaiinqainy
f1	12	1	qocheshedlhsholqokrkiin
f1	12	2	qtotainarshedyainchedydyal
f1	12	3	aryiinainchedcheqokchydylk
f1	12	4	orlarlkaiinchealolrkcheol
f1	12	5	alolcheyolkoainalqaokched
f1	12	6	ainolrkkotorcheoltetoltor
f1	12	7	chedycheolalqatoqolshamd
f1	12	8	tookrlqokshetidyylk
f1	12	9	echeydichelhopqokinchedyty
f1	12	10	qokchedyshedyorchedyteiinainlciin
f1	12	11	inorchedychedyartydorqopdeol
f1	12	12	ariinaindorkylcchedykolkain
f1	12	13	kychedechedyqokolchdarshesh
f1	12	14	qokdilkchqokainiinqokotiin
f1	12	15	darqoksheiinychaliindyky
f1	12	16	iinqokainotalteeekyarty
f1	12	17	dytekyarchedyyqaiinshesh
f1	12	18	teqarchychedyteshearky
f1	12	19	qokroklhshcheshedokish
f1	12	20	rrklhtaryshedarkiolch
f1	12	21	cheshedkiolkyotqotalshedyqa
f1	12	22	olcheychtqotyiinqatd
f1	12	23	cheyaiintotdoiinintchechey
f1	12	24	otainshedyyindariincheychyrk
f1	12	25	amdyollarkitochyolaiin
f1	12	26	dychedylarchetorcheololcheyain
f1	12	27	lkolkitorchyrkaiindycheolshed
f1	12	28	olrkdycheoldyokchedyiinchedch
f1	12	29	qookiinchedainoltoshchyt
f1	12	30	rlshetorcheshoktitor
f1	13	1	lshtoramotychytilkol
f1	13	2	tidyeyokqoktoraiinchar
f1	13	3	deqokshedyorqopiintortarokdy
f1	13	4	qokinorchedyteainloklciin
f1	13	5	ininchedychedytdortarlccheqok
f1	13	6	qokaraindorokchedyiinoldiko
f1	13	7	qopkydechedyqokchchedyainshy
f1	13	8	chedykodilkchedysheamyshal
f1	13	9	qokkechdarainqokyainotiin
f1	13	10	dorcheolqokcheshetorainchqokyte
f1	13	11	cheorqoktoainqaiinteqch
f1	13	12	qoktoqokchqokycheolterktary
f1	13	13	ortorcheolqaolaiinqoklrqo
f1	13	14	torolaiinqokrllhqolhtar
f1	13	15	qokaralrkdychyshedshal
f1	13	16	rkrshedshedlhalcheydyarsh
f1	13	17	dyqooklhtarkoaiinaiinshdy
f1	13	18	liinytarshdorqiindyq
f1	13	19	qoshdorqokiinrkqqochy
f1	13	20	shdyainarshshchedydtoy
f1	13	21	otqoksheteoltilccheoprc
f1	13	22	qokamchedyqoktaiindorarchedyaiin
f1	13	23	shedtirkarchechyopdiaiinqok
f1	13	24	lcdcheaiindiqardykydy
f1	13	25	aiinrkqotdichyiinaiinrkdyt
f1	13	26	qotytarchedycheolarshetotarlk
f1	13	27	qodyolotamiinkochyqaiin
f1	13	28	chedytarlamarcherholaiinain
f1	13	29	qoollkcheiintorcheololdycheol
f1	13	30	keiintorcheolchyolqcheolshedqo
f1	14	1	chechyolqaiincheoleeqoiinched
f1	14	2	chetorcheyrkainqashedqoshetor
f1	14	3	ololdyalqriinchedold
f1	14	4	olkoalteqoshshetorey
f1	14	5	rkchedyqatookqoktoramyche
f1	14	6	qotqacheycherqokchedyshedytyiin
f1	14	7	rdiopdeqokychedytetoklc
f1	14	8	opdeshedychedyteaintarokqokol
f1	14	9	deinchedyqoktyqoplcchedilk
f1	14	10	orchedyiindorokchedyqokolainsh
f1	14	11	chedyardorkycheqokdilksheiin
f1	14	12	arrkkylkchedydorchdarqokto
f1	14	13	kylkqokdorchoriinqokqokyqa
f1	14	14	shedychykecheoldarainqoktoqaol
f1	14	15	kecheolcheainqokqokqokyqarrk
f1	14	16	qokortotorchcheolqqoktary
f1	14	17	qoktorqokyolterkoklhcheshed
f1	14	18	teqokoktarysheddokitot
f1	14	19	chlhchedychearcheyshchshedyy
f1	14	20	yqodoolkyotdoaltche
f1	14	21	chedychekicheyshainalshedychedar
f1	14	22	shtalyindardcheyolaiin
f1	14	23	tarolchechetocheyqaiinqshed
f1	14	24	keliinkicheololaiinainshedqo
f1	14	25	llkkialolkodycheolokr
f1	14	26	lkaiinalainoltoralqalsh
f1	14	27	shedydarchedyshchedychedyqokqacherh
f1	14	28	chshedyqopalqoopqaarrhlh
f1	14	29	qopalcheolopqaqokcherhinin
f1	14	30	alkeopsheetorlhshchd
f1	15	1	eqoklhalqokdchedyqokqopky
f1	15	2	qokinchedyariinkychedelkch
f1	15	3	chedyqokainqoplckooldishshe
f1	15	4	iindorchechedyqokchkoainshain
f1	15	5	ainqopdekooldarainshainot
f1	15	6	ollkainsheqotalcheykyar
f1	15	7	koshyaineedyeertysh
f1	15	8	qshaliinqoparchedyyiinshe
f1	15	9	qoprchedytycheolsheaiinshyche
f1	15	10	eekyyshqaarshshcheqot
f1	15	11	qaiinshkydqotchyaindyrk
f1	15	12	shkyyqotchyinldytched
f1	15	13	shkychedoainqadyrkchedt
f1	15	14	tchedyiintarcheolchekorhlkq
f1	15	15	cheolamkototorqchinlht
f1	15	16	tortarchdydtrklkchyche
f1	15	17	dcheolrkqokkycheqokkecheor
f1	15	18	kykokedordartotorchqokyqa
f1	15	19	shedyqokdorcheolqoktortorqokyqaol
f1	15	20	chydoretoorqokchedyolcheolar
f1	15	21	dorcheainchedytorcheolarrrkdy
f1	15	22	chetotorqokqarkdytaryr
f1	15	23	torqacheolarrrqoshedlhtar
f1	15	24	olrdylytarshaiinqok
f1	15	25	rtarrqoshedqokainrkar
f1	15	26	cheolaiinqotainchedydardyqok
f1	15	27	cheyotrkariinqokchyindyar
f1	15	28	aiinainarshainchylcdyarcheol
f1	15	29	ainiinchedycheddyarcheolinkiq
f1	15	30	rkainchedqoqokcheolqokkiqshol
f2	1	1	kteamtyqokoprcdychchedy
f2	1	2	ainamtichedyararaiinchedyaiinaiin
f2	1	3	cheoldarqopqopshopretqok
f2	1	4	qopshechedyoparlhshqokinin
f2	1	5	sheqaetcheininchedychedyqok
f2	1	6	chedyeqokkilhchdqokarchedy
f2	1	7	rqoktordyaldycheolchedyrklk
f2	1	8	kialchindlkqokshedylkchy
f2	1	9	torarindydyqokchedylkchyche
f2	1	10	dchedylkqokshedydorcheolqokcheor
f2	1	11	chedykylkchyqokcheorqoktotor
f2	1	12	shedychekedarqokorainqoktool
f2	1	13	lktodorqokcheainchedytotorcheol
f2	1	14	chesheorainqokyrctorqokaiin
f2	1	15	edarchedytorqokcheolotcheolarol
f2	1	16	torcheolcheolrrklolyrsh
f2	1	17	qokotarrkdyolchrqoal
f2	1	18	chedyraiindylchchqoiinko
f2	1	19	aiincheyolqoiinokyshaliin
f2	1	20	olshshedshaldordydyaiinsh
f2	1	21	iinyalokdyiinainshdyd
f2	1	22	lkchyeqokytardarcheolainshedchedy
f2	1	23	chedychyqopqalhlkdarcheolqaaiin
f2	1	24	lhlkchedydarcheolqalcaiinshrk
f2	1	25	chedyytyqateiinshshkyche
f2	1	26	ytyshteiinsheshkykyqot
f2	1	27	iinshearshkykycheqotdoin
f2	1	28	tqochedyyiindyotamarto
f2	1	29	qochedydiiindytaramarchecheol
f2	1	30	iindytarotamarrhtocheolq
f2	2	1	korhtodytarlkindyeet
f2	2	2	tocheolchylkqaiineedyqdy
f2	2	3	tarqdycheollhchedychedychycheto
f2	2	4	qainshedtchedyiinchedytotsh
f2	2	5	dyshedchedainchedyotshtotdar
f2	2	6	dychedoltshokdarqokyrcchy
f2	2	7	chedyotoktottorrcchedycheolot
f2	2	8	shokolqokyrcorotaiinchedal
f2	2	9	ttororchedycheolrchedlolch
f2	2	10	rcorraiinchedcheychiinshedok
f2	2	11	cheolrcheylolchshedshalko
f2	2	12	dycheddorlcqopshrkcheoleqa
f2	2	13	aiindorqlkrkchyqatarchedar
f2	2	14	tqqopeqalkdarshedshelc
f2	2	15	elhcheolainshedlctiarcheaiin
f2	2	16	lhchedyteshelcshdaiindichy
f2	2	17	chedytysheaiinshkyychyainq
f2	2	18	qaiinkydrkcheaindildy
f2	2	19	shkyqotchyainiindykydyt
f2	2	20	shkydoainqinrkdytched
f2	2	21	kychshedyiinintdchedtrk
f2	2	22	chotiinqatdarchyrkolaiin
f2	2	23	kelkicheolchycheyaindyqshed
f2	2	24	cheololdyeedysheddyainchedych
f2	2	25	qainshedtchedyiinchedytotsh
f2	2	26	tdychchetoshtoainchedyqoky
f2	2	27	chedyiinottotchytchedyqokyrc
f2	2	28	toshdarainchedyrcchedycheolaraiin
f2	2	29	etrctorqokcheolarrkdyl
f2	2	30	ttororchedycheolrchedlolch
f2	3	1	toraiintotrkecheychchsh
f2	3	2	orartotkealdechshy
f2	3	3	rrkecheddechshokydor
f2	3	4	aiinardorlcshlkchedyeqache
f2	3	5	ardoramqopqrkchyqalhdar
f2	3	6	rkchedychycheollhtardarshedsheti
f2	3	7	qalhlktarcheolshedlctichedyaiin
f2	3	8	shedshelcamchedyaraiinrcaraiin
f2	3	9	chedyiinaindarqopshkchedyopt
f2	3	10	ainrcqotqoparkchedyrsheki
f2	3	11	rcqottqopykecheolsheaintor
f2	3	12	tqochedyardycheolamkorhtar
f2	3	13	ariindychedyamshetolkalin
f2	3	14	cheolamaraintotorqeedlh
f2	3	15	kotocheoldyqchdychedyrkchedy
f2	3	16	chindylkchedylkchytoqokke
f2	3	17	dyeelhchedychedychetoshdorcheol
f2	3	18	dyqchedychedyottshoketo
f2	3	19	chedydyaintchytottorainchedy
f2	3	20	totechedyrcqokchedyotolcheol
f2	3	21	tshtoqokychychedycheolrcheolar
f2	3	22	chedyqokyqokarcheddylchyr
f2	3	23	qokyrcchedyaiinallolchrqo
f2	3	24	rcchycheolchedcheyolchshqoiin
f2	3	25	aiinchedliinokshaldorqok
f2	3	26	lolqoshkookdyiinrkar
f2	3	27	qoiintarokaiinarshqainchedy
f2	3	28	qokrkchedyqoqokchytoindy
f2	3	29	rkarainqoklcdyarqoklkin
f2	3	30	kqokteqokardororrccheolshe
f2	4	1	shedychqokqocheolqokqaerchey
f2	4	2	chdarchedyshechedyqaartcheydi
f2	4	3	qosheqokdirhqotdeinchedyshedy
f2	4	4	cheydiopshedychedyttyainltar
f2	4	5	cherhdechedyqokiinainqopoklc
f2	4	6	qokinchedyainqopchedekoqokol
f2	4	7	inchqokqopshedychedykokedilk
f2	4	8	chdarkylkkoqokdorlkch
f2	4	9	qopkychedychqoksheiintoshain
f2	4	10	shedylkqokqokorqoktotorotch
f2	4	11	lkchykecheaintotorqokchqoky
f2	4	12	chychedororchedytortorchedyqokyqa
f2	4	13	chetocheolainqokytorqokcheolqaol
f2	4	14	shchytitolchedychyoraiinched
f2	4	15	chyoklkdaraiinqokyorarchedal
f2	4	16	torolchchytcheolrkechch
f2	4	17	otrkecheddelchshalko
f2	4	18	otchedchedyaiinamlcshqeqa
f2	4	19	aiinaramqopqychedychytarche
f2	4	20	qoptqlkchyyqalhainshed
f2	4	21	teelklktarchedarcheolqokain
f2	4	22	rkqopcheolcheolainshedshelcolam
f2	4	23	tarcheolqokchedytarcheaiindoror
f2	4	24	cheolainchkshecheolchedyopqokqa
f2	4	25	shedylcqopraretqokdiche
f2	4	26	shkesheqokcherhlhshqotde
f2	4	27	arqokdiinorchedychedyqoktty
f2	4	28	rhaldeariinaindorqopoklc
f2	4	29	chedyartychedyqokoldilkaiinchedy
f2	4	30	iinqopoklkchedykoainshdoram
f2	5	1	dorshedychedarainshsheiinqy
f2	5	2	qoplkdeqokshsheiinqokysh
f2	5	3	shedychekooriinqoktotorainot
f2	5	4	keedartorchqokyqaoldyte
f2	5	5	cheoltchechedyqaolcheolarqqok
f2	5	6	totorainotcheolaraiinchedrrk
f2	5	7	qokotololyrqoiincheshed
f2	5	8	cheolchedriinshedlhtarsholchey
f2	5	9	rkoltarshcheyaiinqoktot
f2	5	10	dychyalaiinqokdyotain
f2	5	11	olshqodorokdyaiiniinrkar
f2	5	12	iinytariinarshdyqainchedy
f2	5	13	aldyokshchedqochydqokchy
f2	5	14	cheollhotsheolamtytilcqok
f2	5	15	tarcheolqokchedytarcheaiindoror
f2	5	16	ainlcolaiinoroprcarshedy
f2	5	17	sheshtychyrcaraiindichchedy
f2	5	18	qoparkchedycheoloprarshal
f2	5	19	ariinchedyotopsheaintarch
f2	5	20	cheolamainrhqoktordyshdycheol
f2	5	21	kotodylkalchinchlkqok
f2	5	22	tochylkaiinchdyeedychedyain
f2	5	23	chycheyaiindydydyqlhchedych
f2	5	24	aincheolqqotdyiinchedyshchy
f2	5	25	shedokiinsheainchottodartor
f2	5	26	qorchedtorchedyotolttorol
f2	5	27	chedtorotdtchyoktochyor
f2	5	28	sheamoleshoktitorar
f2	5	29	oklktoraiinqokychyorchedyalchey
f2	5	30	lkqokaiinshchyartotderk
f2	6	1	aiinsharolotrkechedshrk
